"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"260",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",675,1
"261",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",675,5
"262",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",675,3
"263",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",675,62
"264",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",675,16
"265",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",710,1
"266",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",750,40
"267",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",750,5
"268",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",870,1
"269",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",900,20
"270",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",900,10
"271",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",900,1
"272",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",900,1331
"273",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",900,53
"274",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",900,81
"275",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",1050,2
"276",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",1050,2
"277",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",1125,2
"278",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",1125,2
"279",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",1200,3
"280",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",1350,71
"281",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",1350,1
"282",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",1350,5
"283",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",1800,2
"284",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",1800,2
"285",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",1800,1
"286",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",2250,1
"287",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",NA,2
"288",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",NA,4
"289",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",NA,1
"290",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",NA,2
"291",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",NA,5
"292",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",NA,30
"293",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",NA,1
