"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"2223",NA,1,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2224",NA,2,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2225",NA,4,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2226",NA,0.749,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2227",NA,1.75,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2228",NA,3.25,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2229",NA,0.749,42720864,"Bellis perennis extract 0.749 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.749 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution Box of 15",0.749,1,4.75,0.749,2,NA,NA,NA,NA
"2230",NA,0.158,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2231",NA,0.00142,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2232",NA,0.00158,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2233",NA,1.27,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2234",NA,3.14,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2235",NA,3.96,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2236",NA,3.14,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2237",NA,0.758,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2238",NA,0.792,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2239",NA,0.00237,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2240",NA,7.92,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2241",NA,0.00142,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2242",NA,0.00073,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2243",NA,0.314,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2244",NA,47.5,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2245",NA,6.32,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2246",NA,0.00632,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2247",NA,0.142,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2248",NA,0.95,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2249",NA,7.92,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2250",NA,0.632,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2251",NA,0.000792,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2252",NA,142,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2253",NA,0.695,42720909,"Ascorbic Acid 7.92 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.92 MG/MG / Choline 0.95 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00632 MG/MG / Inositol 0.632 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.92,0.00237,7.92,0.95,0.00142,0.00632,0.632,0.00158,NA
"2254",NA,0.00142,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2255",NA,0.949,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2256",NA,0.758,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2257",NA,47.5,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2258",NA,1.27,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2259",NA,0.316,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2260",NA,0.158,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2261",NA,0.142,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2262",NA,3.16,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2263",NA,0.00634,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2264",NA,3.95,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2265",NA,0.00237,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2266",NA,142,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2267",NA,7.9,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2268",NA,0.79,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2269",NA,0.000729,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2270",NA,0.00079,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2271",NA,7.9,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2272",NA,0.697,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2273",NA,0.00158,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2274",NA,6.34,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2275",NA,0.00142,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2276",NA,3.16,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2277",NA,0.634,42720910,"Ascorbic Acid 7.9 MG/MG / Beta Carotene 47.5 UNT/MG / Biotin 0.00237 MG/MG / Calcium 7.9 MG/MG / Choline 0.949 MG/MG / CHROMIUM, CHELATED 0.00142 MG/MG / Folic Acid 0.00634 MG/MG / Inositol 0.634 MG/MG / Iodine 0.00158 MG/MG / ... Oral Powder",7.9,0.00237,7.9,0.949,0.00142,0.00634,0.634,0.00158,NA
"2278",NA,584,42720964,"Plantago Seed 584 MG/MG Oral Powder [Vegacil Fibre Laxative]",584,NA,NA,NA,NA,NA,NA,NA,NA
"2279",NA,1.9,42721121,"lauromacrogols 1.9 MG/MG / Potassium 0.00675 MG/MG / Sodium 0.0766 MG/MG Oral Solution [Movicol] Box of 50",1.9,0.00675,0.0766,NA,NA,NA,NA,NA,NA
"2280",NA,0.0766,42721121,"lauromacrogols 1.9 MG/MG / Potassium 0.00675 MG/MG / Sodium 0.0766 MG/MG Oral Solution [Movicol] Box of 50",1.9,0.00675,0.0766,NA,NA,NA,NA,NA,NA
"2281",NA,0.00675,42721121,"lauromacrogols 1.9 MG/MG / Potassium 0.00675 MG/MG / Sodium 0.0766 MG/MG Oral Solution [Movicol] Box of 50",1.9,0.00675,0.0766,NA,NA,NA,NA,NA,NA
"2282",NA,0.0825,42721181,"POLYETHYLENE GLYCOL 3350 862 MG/MG / Potassium Chloride 0.0108 MG/MG / Sodium Bicarbonate 0.0244 MG/MG / Sodium Chloride 0.0212 MG/MG / sodium sulfate 0.0825 MG/MG Oral Powder [Electropeg]",862,0.0108,0.0244,0.0212,0.0825,NA,NA,NA,NA
"2283",NA,0.0108,42721181,"POLYETHYLENE GLYCOL 3350 862 MG/MG / Potassium Chloride 0.0108 MG/MG / Sodium Bicarbonate 0.0244 MG/MG / Sodium Chloride 0.0212 MG/MG / sodium sulfate 0.0825 MG/MG Oral Powder [Electropeg]",862,0.0108,0.0244,0.0212,0.0825,NA,NA,NA,NA
"2284",NA,862,42721181,"POLYETHYLENE GLYCOL 3350 862 MG/MG / Potassium Chloride 0.0108 MG/MG / Sodium Bicarbonate 0.0244 MG/MG / Sodium Chloride 0.0212 MG/MG / sodium sulfate 0.0825 MG/MG Oral Powder [Electropeg]",862,0.0108,0.0244,0.0212,0.0825,NA,NA,NA,NA
"2285",NA,0.0212,42721181,"POLYETHYLENE GLYCOL 3350 862 MG/MG / Potassium Chloride 0.0108 MG/MG / Sodium Bicarbonate 0.0244 MG/MG / Sodium Chloride 0.0212 MG/MG / sodium sulfate 0.0825 MG/MG Oral Powder [Electropeg]",862,0.0108,0.0244,0.0212,0.0825,NA,NA,NA,NA
"2286",NA,0.0244,42721181,"POLYETHYLENE GLYCOL 3350 862 MG/MG / Potassium Chloride 0.0108 MG/MG / Sodium Bicarbonate 0.0244 MG/MG / Sodium Chloride 0.0212 MG/MG / sodium sulfate 0.0825 MG/MG Oral Powder [Electropeg]",862,0.0108,0.0244,0.0212,0.0825,NA,NA,NA,NA
"2287",NA,0.00457,42721209,"Camphor 0.025 MG/MG / Copper Sulfate 0.001 MG/MG / Methylene blue 0.00457 MG/MG / resorcinol 1.95 MG/MG / Zinc Sulfate 2.95 MG/MG Topical Solution [Eau Resolutive Soker]",0.025,0.001,0.00457,1.95,2.95,NA,NA,NA,NA
"2288",NA,0.025,42721209,"Camphor 0.025 MG/MG / Copper Sulfate 0.001 MG/MG / Methylene blue 0.00457 MG/MG / resorcinol 1.95 MG/MG / Zinc Sulfate 2.95 MG/MG Topical Solution [Eau Resolutive Soker]",0.025,0.001,0.00457,1.95,2.95,NA,NA,NA,NA
"2289",NA,2.95,42721209,"Camphor 0.025 MG/MG / Copper Sulfate 0.001 MG/MG / Methylene blue 0.00457 MG/MG / resorcinol 1.95 MG/MG / Zinc Sulfate 2.95 MG/MG Topical Solution [Eau Resolutive Soker]",0.025,0.001,0.00457,1.95,2.95,NA,NA,NA,NA
"2290",NA,0.001,42721209,"Camphor 0.025 MG/MG / Copper Sulfate 0.001 MG/MG / Methylene blue 0.00457 MG/MG / resorcinol 1.95 MG/MG / Zinc Sulfate 2.95 MG/MG Topical Solution [Eau Resolutive Soker]",0.025,0.001,0.00457,1.95,2.95,NA,NA,NA,NA
