"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"500",1600,8000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"501",1600,4000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"502",1600,23000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"503",1600,60,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"504",1600,7010,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"505",1600,13000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"506",1600,16000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"507",1600,3010,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"508",1600,19000,41451803,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"509",1600,19000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"510",1600,6000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"511",1600,12000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"512",1600,4000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"513",1600,4000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"514",1600,12000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"515",1600,15000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"516",1600,11000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"517",1600,4000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"518",1600,13000,41451822,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"519",1600,16000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"520",1600,13000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"521",1600,3010,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"522",1600,19000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"523",1600,60,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"524",1600,7010,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"525",1600,8000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"526",1600,23000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"527",1600,4000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"528",1600,4000,41451834,"1600 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"529",1600,13000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"530",1600,15000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"531",1600,11000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"532",1600,12000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"533",1600,6000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"534",1600,4000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"535",1600,12000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"536",1600,4000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"537",1600,19000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"538",1600,4000,41451835,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.5 MG/MG / ... Oral Solution",2.5,6.88,9.38,2.5,7.5,NA,NA,NA,NA
"539",1600,11000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"540",1600,4000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"541",1600,12000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"542",1600,12000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"543",1600,4000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"544",1600,4000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"545",1600,19000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"546",1600,15000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"547",1600,13000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"548",1600,6000,41451841,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"549",1600,13000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"550",1600,6000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"551",1600,12000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"552",1600,4000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"553",1600,19000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"554",1600,15000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"555",1600,12000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"556",1600,11000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"557",1600,4000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"558",1600,4000,41451844,"1600 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial]",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"559",1610,4030,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"560",1610,60.4,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"561",1610,23200,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"562",1610,3030,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"563",1610,13100,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"564",1610,4030,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"565",1610,19200,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"566",1610,7050,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"567",1610,16100,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"568",1610,8050,41451858,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / ... Oral Solution [Gesundform] Box of 15",0.0375,11.9,1.88,5,NA,NA,NA,NA,NA
"569",1610,12100,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"570",1610,13100,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"571",1610,19200,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"572",1610,4030,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"573",1610,4030,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"574",1610,12100,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"575",1610,11100,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"576",1610,4030,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"577",1610,6040,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"578",1610,15100,41451861,"1610 MG Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.89 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / Polygonum aviculare top extract 7.52 MG/MG / ... Oral Solution",2.5,6.89,9.38,2.5,7.52,NA,NA,NA,NA
"579",1610,13100,41451865,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"580",1610,8050,41451865,"1610 MG Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... Oral Solution",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
